Name,Item No,Vf,Imax,CCT,CRI,Cutout,Beam Angle,Wattage,Batch Code,Stock Code,MFG BY,BIS No,BIS SEC,MRP,IMAGE
Zibal 12,AOLS1270,240V AC,NA,3000K, CRI>80,φ65*115mm, 45°,12W,AJ/CG,AOLS1270/30/45/B/S,,,,11199,https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2F0j45CZh0%2FZibal.png&output=webp&q=78
Zibal 12,AOLS1270,240V AC,NA,3000K, CRI>80,φ65*115mm, 60°,12W,AJ/CG,AOLS1270/30/60/B/S,,,,11199,https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2F0j45CZh0%2FZibal.png&output=webp&q=78
Zibal 16,AOLS1280,240V AC,NA,3000K, CRI>80, φ75*135mm, 15°,16W,AJ/CG,AOLS1280/30/15/B/S,,,,14799,https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2F0j45CZh0%2FZibal.png&output=webp&q=78
Zibal 16,AOLS1280,240V AC,NA,3000K, CRI>80, φ75*135mm, 30°,16W,AJ/CG,AOLS1280/30/30/B/S,,,,14799,https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2F0j45CZh0%2FZibal.png&output=webp&q=78
Zibal 16,AOLS1280,240V AC,NA,3000K, CRI>80, φ75*135mm, 45°,16W,AJ/CG,AOLS1280/30/45/B/S,,,,14799,https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2F0j45CZh0%2FZibal.png&output=webp&q=78
Zibal 16,AOLS1280,240V AC,NA,3000K, CRI>80, φ75*135mm, 60°,16W,AJ/CG,AOLS1280/30/60/B/S,,,,14799,https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2F0j45CZh0%2FZibal.png&output=webp&q=78
Sabik,AOLS0960,240V AC,NA,3000K, CRI>80, φ60*100mm, 6°,9W,AJ/CG,AOLS0960/30/6/B/S,,,,12399,https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2FHpdZ5NpZ%2FSabik.png&output=webp&q=78
Sabik,AOLS0960,240V AC,NA,3000K, CRI>80, φ60*100mm, 12°,9W,AJ/CG,AOLS0960/30/12/B/S,,,,12399,https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2FHpdZ5NpZ%2FSabik.png&output=webp&q=78
Sabik,AOLS0960,240V AC,NA,3000K, CRI>80, φ60*100mm, 25°,9W,AJ/CG,AOLS0960/30/25/B/S,,,,12399,https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2FHpdZ5NpZ%2FSabik.png&output=webp&q=78
Sabik,AOLS0960,240V AC,NA,3000K, CRI>80, φ60*100mm, 40°,9W,AJ/CG,AOLS0960/30/40/B/S,,,,12399,https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2FHpdZ5NpZ%2FSabik.png&output=webp&q=78
Sabik,AOLS0960,240V AC,NA,3000K, CRI>80, φ60*100mm, 60°,9W,AJ/CG,AOLS0960/30/60/B/S,,,,12399,https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2FHpdZ5NpZ%2FSabik.png&output=webp&q=78
Polis 15,AOSL1580,240V AC,NA,3000K, CRI>80, φ75*135mm, 18°,15W,AJ/CG,AOSL1580/30/18/B/S,,,,16199,https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2FC3f9WtGd%2FPolis.png&output=webp&q=78
Polis 15,AOSL1580,240V AC,NA,3000K, CRI>80, φ75*135mm, 24°,15W,AJ/CG,AOSL1580/30/24/B/S,,,,16199,https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2FC3f9WtGd%2FPolis.png&output=webp&q=78
Polis 15,AOSL1580,240V AC,NA,3000K, CRI>80, φ75*135mm, 38°,15W,AJ/CG,AOSL1580/30/38/B/S,,,,16199,https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2FC3f9WtGd%2FPolis.png&output=webp&q=78
